EmployeeID,Name,Department,Role,City,Gender,Salary,HireDate,PerformanceScore,ManagerID,Experience
56,Aditya_56,HR,HR Executive,Gurgaon,F,94300,05-12-2023,4,1,6
57,Sarthak_57,HR,HR Manager,Delhi,F,58100,01-10-2023,3.3,9,7
58,Devesh_58,HR,HR Executive,Noida,M,111900,19-11-2024,3.8,7,1
59,Manav_59,IT,Data Analyst,Bangalore,M,73800,28-12-2017,4.9,3,12
60,Priya_60,Finance,Accountant,Mumbai,M,115400,28-03-2017,4.4,8,6
61,Harsh_61,HR,HR Executive,Delhi,M,62300,21-06-2019,4.9,6,5
62,Rohit_62,IT,Data Analyst,Bangalore,F,104000,15-08-2022,3.6,9,6
63,Ananya_63,Sales,Regional Manager,Noida,F,42700,06-06-2015,3.9,2,10
64,Aditya_64,IT,QA Engineer,Gurgaon,F,109200,19-10-2021,3.8,9,2
65,Shruti_65,Marketing,Content Strategist,Gurgaon,M,82900,13-12-2022,4.1,7,1
66,Abhishek_66,Marketing,Marketing Manager,Bangalore,M,66100,31-01-2019,3.2,7,2
67,Gaurav_67,IT,QA Engineer,Gurgaon,M,62000,27-01-2023,3.6,5,9
68,Harsh_68,Finance,Financial Analyst,Mumbai,F,63800,20-03-2021,3.5,3,4
69,Simran_69,Finance,Finance Manager,Bangalore,M,106800,26-11-2021,3.9,10,5
70,Raj_70,Marketing,Content Strategist,Gurgaon,F,95000,10-05-2017,3.6,7,10
71,Tanvi_71,IT,Data Analyst,Mumbai,F,98100,30-07-2022,4,4,9
72,Kunal_72,HR,HR Manager,Delhi,F,43700,12-10-2020,4.4,10,6
73,Sneha_73,HR,HR Manager,Gurgaon,M,53500,17-01-2024,3.7,4,3
74,Ananya_74,Sales,Sales Executive,Mumbai,M,74800,09-02-2020,3.3,7,11
75,Payal_75,HR,HR Manager,Bangalore,F,101100,17-07-2020,4,7,4
76,Karan_76,Sales,Sales Executive,Mumbai,M,108800,21-12-2016,3.8,9,8
77,Neha_77,Marketing,Content Strategist,Delhi,F,91000,30-06-2016,4.9,8,11
78,Abhishek_78,Marketing,Marketing Manager,Gurgaon,F,102000,14-11-2021,3.5,9,7
79,Nikhil_79,Finance,Accountant,Bangalore,F,105300,18-01-2020,4,5,4
80,Shreya_80,IT,QA Engineer,Mumbai,M,63700,29-01-2018,3.3,8,2
81,Sonia_81,IT,Software Engineer,Gurgaon,F,66700,02-08-2018,5,9,2
82,Amit_82,HR,HR Executive,Mumbai,M,40900,03-12-2022,3.6,4,2
83,Simran_83,Finance,Financial Analyst,Pune,F,47400,31-08-2019,4.3,1,4
84,Simran_84,Finance,Finance Manager,Bangalore,M,86700,10-08-2024,3.3,10,7
85,Kunal_85,Sales,Regional Manager,Gurgaon,F,90900,27-07-2024,3.9,7,9
86,Sameer_86,Marketing,Marketing Manager,Noida,F,66300,17-06-2017,3.5,5,7
87,Pooja_87,Sales,Regional Manager,Gurgaon,F,110500,14-02-2023,3.2,3,8
88,Amit_88,Marketing,Marketing Manager,Delhi,F,52700,21-08-2021,4.5,10,11
89,Ananya_89,Sales,Sales Associate,Mumbai,M,107900,20-09-2024,3.9,8,3
90,Neha_90,IT,Data Analyst,Gurgaon,M,105700,06-02-2020,3.8,6,6
91,Parul_91,Finance,Financial Analyst,Mumbai,F,62700,12-05-2024,4.7,2,8
92,Ananya_92,Marketing,Content Strategist,Gurgaon,M,82100,16-04-2022,4,2,11
93,Arjun_93,Sales,Sales Executive,Noida,M,91700,19-12-2021,3.1,3,4
94,Amit_94,Finance,Finance Manager,Delhi,M,89800,19-03-2020,3.7,5,6
95,Isha_95,Marketing,Marketing Manager,Bangalore,M,112100,21-09-2023,4.4,3,5
96,Priya_96,Marketing,Content Strategist,Gurgaon,F,51400,13-06-2019,4.3,4,2
97,Rohan_97,HR,HR Executive,Bangalore,F,48700,14-07-2024,4.4,10,2
98,Payal_98,Sales,Regional Manager,Pune,F,111300,02-06-2022,4,6,2
99,Rekha_99,IT,Software Engineer,Mumbai,F,51100,08-03-2016,3.3,7,6
100,Shreya_100,Finance,Finance Manager,Noida,F,48200,22-12-2016,4.5,9,11
